episode,finalReward
06-02-03.yaml,[-0.9975971]
06-03-01.yaml,[0.37739998]
06-03-02.yaml,[-0.9975971]
06-03-03.yaml,[0.37739998]
06-04-01.yaml,[0.4869991]
06-04-02.yaml,[0.4869991]
06-04-03.yaml,[0.4869991]
06-05-01.yaml,[-0.9975971]
06-05-02.yaml,[-0.9975971]
06-05-03.yaml,[-0.9975971]
06-06-01.yaml,[0.97020006]
06-06-03.yaml,[0.9734]
06-07-01.yaml,[-0.9975971]
06-07-02.yaml,[-0.9975971]
06-07-03.yaml,[-0.9975971]
06-08-01.yaml,[-0.9975971]
06-08-03.yaml,[-0.9975971]
06-09-02.yaml,[0.12780195]
06-09-03.yaml,[0.07420236]
06-10-01.yaml,[0.7438001]
06-10-02.yaml,[0.5173991]
06-10-03.yaml,[0.5189991]
06-11-01.yaml,[0.5701993]
06-11-02.yaml,[-0.9975971]
06-12-01.yaml,[0.45259935]
06-12-02.yaml,[0.5597993]
06-12-03.yaml,[-0.9975971]
06-13-01.yaml,[0.44059944]
06-13-02.yaml,[-0.9975971]
06-13-03.yaml,[0.44059944]
06-14-01.yaml,[1.6623998]
06-14-02.yaml,[1.6623998]
06-14-03.yaml,[1.6623998]
06-15-01.yaml,[5.4423313]
06-15-02.yaml,[1.9437963]
06-15-03.yaml,[1.9437963]
06-16-01.yaml,[-0.3618007]
06-16-02.yaml,[-0.3618007]
06-16-03.yaml,[-0.3618007]
06-17-01.yaml,[1.6947974]
06-17-03.yaml,[1.1675959]
06-18-01.yaml,[1.0631993]
06-18-03.yaml,[1.1735961]
06-19-01.yaml,[3.5196095]
06-19-02.yaml,[3.5196095]
06-19-03.yaml,[3.5196095]
06-20-01.yaml,[1.2606409]
06-20-02.yaml,[2.3256226]
06-21-01.yaml,[4.9528823]
06-21-02.yaml,[5.248008]
06-22-02.yaml,[2.5290136]
06-22-03.yaml,[0.8602615]
06-23-01.yaml,[6.854512]
06-23-03.yaml,[7.071357]
06-24-01.yaml,[4.39079]
06-24-02.yaml,[4.39079]
06-24-03.yaml,[4.39079]
06-25-01.yaml,[0.77299964]
06-25-02.yaml,[0.7785996]
06-25-03.yaml,[0.7785996]
06-26-01.yaml,[-0.9975971]
06-26-02.yaml,[-0.9975971]
06-27-01.yaml,[0.5909995]
06-27-02.yaml,[0.42939955]
06-27-03.yaml,[0.42939955]
06-28-01.yaml,[0.4333995]
06-28-02.yaml,[0.4333995]
06-28-03.yaml,[0.4333995]
06-29-01.yaml,[-0.9975971]
06-29-02.yaml,[-0.9975971]
06-29-03.yaml,[-0.9975971]
06-30-01.yaml,[-0.9975971]
06-30-02.yaml,[-0.9975971]
06-30-03.yaml,[-0.9975971]
07-01-01.yaml,[0.84699994]
07-01-03.yaml,[0.250201]
07-02-01.yaml,[0.28940064]
07-02-02.yaml,[0.01500285]
07-02-03.yaml,[0.250201]
07-03-01.yaml,[0.28940064]
07-03-02.yaml,[0.250201]
07-03-03.yaml,[0.01500285]
07-04-01.yaml,[0.7750001]
07-04-02.yaml,[0.7750001]
07-04-03.yaml,[0.7750001]
07-05-01.yaml,[0.59979945]
07-05-02.yaml,[0.59979945]
07-05-03.yaml,[0.59979945]
07-06-01.yaml,[0.799]
07-06-02.yaml,[0.799]
07-06-03.yaml,[0.799]
07-07-01.yaml,[0.7750001]
07-07-02.yaml,[0.92539996]
07-07-03.yaml,[0.7686001]
07-08-01.yaml,[0.59979945]
07-08-02.yaml,[0.9102]
07-08-03.yaml,[0.02460277]
07-09-01.yaml,[0.799]
07-09-02.yaml,[0.80700004]
07-09-03.yaml,[0.79580003]
07-10-01.yaml,[1.9219999]
07-10-02.yaml,[1.926]
07-10-03.yaml,[1.9067999]
07-11-01.yaml,[1.0692024]
07-11-02.yaml,[1.9252]
07-11-03.yaml,[1.4683993]
07-12-01.yaml,[1.9219999]
07-12-02.yaml,[1.926]
07-12-03.yaml,[1.9067999]
07-13-01.yaml,[1.9188]
07-13-02.yaml,[1.9219999]
07-13-03.yaml,[1.4843991]
07-14-01.yaml,[4.6917996]
07-14-02.yaml,[4.6969995]
07-14-03.yaml,[4.7049994]
07-15-01.yaml,[4.527801]
07-15-02.yaml,[4.489801]
07-15-03.yaml,[4.4946012]
07-16-01.yaml,[0.5869994]
07-16-02.yaml,[0.5869994]
07-16-03.yaml,[0.5869994]
07-17-01.yaml,[-0.99880695]
07-17-02.yaml,[-0.99880695]
07-17-03.yaml,[-0.99880695]
07-18-01.yaml,[-0.99880695]
07-18-02.yaml,[-0.99880695]
07-18-03.yaml,[-0.99880695]
07-19-01.yaml,[-0.9975971]
07-19-02.yaml,[0.47659916]
07-19-03.yaml,[0.21020126]
07-20-01.yaml,[0.55340105]
07-20-02.yaml,[0.5418011]
07-20-03.yaml,[0.551401]
07-21-01.yaml,[0.69499993]
07-21-02.yaml,[0.72859967]
07-21-03.yaml,[0.5986007]
07-22-01.yaml,[0.6550002]
07-22-02.yaml,[0.09859473]
07-22-03.yaml,[0.6018007]
07-23-01.yaml,[2.600198]
07-23-02.yaml,[2.336207]
07-23-03.yaml,[2.4818044]
07-24-01.yaml,[0.6134006]
07-24-02.yaml,[0.3985998]
07-24-03.yaml,[0.31659842]
07-25-02.yaml,[2.6905978]
07-25-03.yaml,[2.6905978]
07-26-01.yaml,[0.67979985]
07-26-02.yaml,[0.6141995]
07-26-03.yaml,[0.68539983]
07-27-01.yaml,[-0.9975971]
07-27-02.yaml,[-0.9975971]
07-28-01.yaml,[3.439605]
07-28-02.yaml,[3.5196095]
07-28-03.yaml,[3.5196095]
07-29-01.yaml,[1.2606409]
07-29-02.yaml,[0.73702896]
07-29-03.yaml,[0.73702896]
07-30-01.yaml,[6.854512]
07-30-03.yaml,[7.071357]
08-01-01.yaml,[-0.9975971]
08-01-02.yaml,[-0.9975971]
08-01-03.yaml,[-0.9975971]
08-02-01.yaml,[-0.9975971]
08-02-02.yaml,[-0.9975971]
08-02-03.yaml,[-0.9975971]
08-03-01.yaml,[-0.9975971]
08-03-02.yaml,[-0.9975971]
08-03-03.yaml,[-0.9975971]
08-04-01.yaml,[-0.99880695]
08-04-02.yaml,[-0.17260434]
08-05-01.yaml,[-0.4498021]
08-05-02.yaml,[-0.30259973]
08-05-03.yaml,[0.7011992]
08-06-01.yaml,[-0.42980185]
08-06-02.yaml,[-0.38980106]
08-06-03.yaml,[-0.9975971]
08-07-02.yaml,[0.73660004]
08-07-03.yaml,[2.6441998]
08-08-01.yaml,[0.7846001]
08-08-02.yaml,[0.6405996]
08-08-03.yaml,[0.17180157]
08-09-01.yaml,[0.7430001]
08-09-02.yaml,[0.6261996]
08-09-03.yaml,[2.102602]
08-10-01.yaml,[-0.9975971]
08-10-02.yaml,[-0.9975971]
08-10-03.yaml,[-0.9975971]
08-11-01.yaml,[-0.9975971]
08-11-02.yaml,[-0.9975971]
08-11-03.yaml,[-0.9975971]
08-12-01.yaml,[-0.9975971]
08-12-02.yaml,[-0.9975971]
08-12-03.yaml,[-0.9975971]
08-13-01.yaml,[-0.9975971]
08-13-02.yaml,[-0.9975971]
08-13-03.yaml,[-0.9975971]
08-14-01.yaml,[0.3742]
08-14-02.yaml,[-0.9975971]
08-14-03.yaml,[-0.9975971]
08-15-02.yaml,[0.35580015]
08-15-03.yaml,[0.69819987]
08-16-01.yaml,[0.45659935]
08-16-02.yaml,[0.28940064]
08-16-03.yaml,[-0.9975971]
08-17-01.yaml,[1.4643993]
08-17-02.yaml,[1.6507998]
08-17-03.yaml,[-0.9975971]
08-18-01.yaml,[-0.9975971]
08-18-02.yaml,[1.3668001]
08-18-03.yaml,[-0.9975971]
08-19-01.yaml,[-1.046]
08-19-02.yaml,[-1.0364]
08-19-03.yaml,[1.7779998]
08-20-01.yaml,[-1.0488]
08-20-02.yaml,[-1.0388]
08-20-03.yaml,[-1.0364]
08-21-01.yaml,[0.4443]
08-21-02.yaml,[-1.0364]
08-21-03.yaml,[0.4527]
08-22-01.yaml,[-1.0488]
08-22-02.yaml,[-1.0388]
08-22-03.yaml,[-1.0364]
08-23-01.yaml,[1.6684002]
08-23-02.yaml,[-1.0364]
08-23-03.yaml,[1.7779998]
08-24-01.yaml,[-1.7308023]
08-24-02.yaml,[-1.0388]
08-24-03.yaml,[-1.0364]
08-25-01.yaml,[1.6684002]
08-25-02.yaml,[-1.0364]
08-25-03.yaml,[1.7779998]
08-26-01.yaml,[-1.5407991]
08-26-02.yaml,[-1.0388]
08-26-03.yaml,[-1.0364]
08-27-01.yaml,[1.5836009]
08-27-03.yaml,[1.6692002]
08-28-02.yaml,[-0.99880695]
08-28-03.yaml,[-1.0436]
08-29-01.yaml,[-0.99880695]
08-29-03.yaml,[-0.99880695]
08-30-01.yaml,[-1.0436]
08-30-02.yaml,[-0.99880695]
09-01-01.yaml,[1.9219999]
09-01-02.yaml,[-0.9975971]
09-01-03.yaml,[1.9332]
09-02-02.yaml,[8.145052]
09-02-03.yaml,[8.32024]
09-03-01.yaml,[4.458834]
09-03-02.yaml,[10.160578]
09-03-03.yaml,[4.458834]
09-04-01.yaml,[2.4408245]
09-04-02.yaml,[2.4408245]
09-04-03.yaml,[2.4408245]
09-05-01.yaml,[6.4384336]
09-05-02.yaml,[6.4384336]
09-05-03.yaml,[6.4384336]
09-06-01.yaml,[4.5916348]
09-06-02.yaml,[4.5916348]
09-06-03.yaml,[4.5916348]
09-07-01.yaml,[4.488434]
09-07-02.yaml,[4.488434]
09-07-03.yaml,[4.488434]
09-08-01.yaml,[0.91478515]
09-08-02.yaml,[2.7080288]
09-09-01.yaml,[5.9944496]
09-09-02.yaml,[5.9944496]
09-09-03.yaml,[5.9944496]
09-10-01.yaml,[5.4568443]
09-10-02.yaml,[2.1352193]
09-11-01.yaml,[2.600827]
09-11-02.yaml,[2.600827]
09-11-03.yaml,[2.600827]
09-12-01.yaml,[8.369844]
09-12-02.yaml,[4.663633]
09-12-03.yaml,[4.663633]
09-13-01.yaml,[0.6539914]
09-13-02.yaml,[4.0164547]
09-13-03.yaml,[0.6539914]
09-14-01.yaml,[-0.9975971]
09-14-02.yaml,[0.6539914]
09-14-03.yaml,[0.7291898]
09-15-01.yaml,[2.6560316]
09-15-02.yaml,[0.6539914]
09-15-03.yaml,[0.02520533]
09-16-02.yaml,[0.6539914]
09-16-03.yaml,[0.7299898]
09-17-01.yaml,[4.0164547]
09-17-02.yaml,[2.5728312]
09-17-03.yaml,[3.8092349]
09-18-01.yaml,[0.6539914]
09-18-02.yaml,[2.6600316]
09-18-03.yaml,[2.5352297]
09-19-01.yaml,[2.7808306]
09-19-02.yaml,[2.7808306]
09-19-03.yaml,[2.7808306]
09-20-01.yaml,[-0.9975971]
09-20-03.yaml,[-0.9975971]
09-21-02.yaml,[2.8728318]
09-21-03.yaml,[2.7888305]
09-22-01.yaml,[2.3672285]
09-22-02.yaml,[-0.9975971]
09-22-03.yaml,[-0.9975971]
09-23-01.yaml,[0.86678636]
09-23-02.yaml,[0.86678636]
09-23-03.yaml,[0.86678636]
09-24-01.yaml,[2.4720302]
09-24-02.yaml,[2.4712303]
09-24-03.yaml,[3.9708252]
09-25-01.yaml,[2.7808306]
09-25-02.yaml,[2.8648326]
09-25-03.yaml,[2.8648326]
09-26-01.yaml,[0.88678586]
09-26-02.yaml,[0.90838534]
09-26-03.yaml,[0.88678586]
09-27-01.yaml,[4.1891956]
09-27-02.yaml,[1.1746008]
09-27-03.yaml,[4.3475957]
09-28-01.yaml,[0.8492233]
09-28-03.yaml,[3.025857]
09-29-01.yaml,[-0.06060601]
09-29-02.yaml,[3.0710464]
09-29-03.yaml,[1.9246324]
09-30-02.yaml,[2.1760552]
09-30-03.yaml,[5.8848248]
10-01-01.yaml,[-0.99880695]
10-01-02.yaml,[-0.99880695]
10-01-03.yaml,[-0.99880695]
10-02-01.yaml,[-1.1235999]
10-02-02.yaml,[-1.3199999]
10-02-03.yaml,[-1.3199999]
10-03-01.yaml,[-0.99880695]
10-03-02.yaml,[-0.99880695]
10-03-03.yaml,[-0.99880695]
10-04-01.yaml,[-0.99880695]
10-04-02.yaml,[-1.2524004]
10-04-03.yaml,[-1.2524004]
10-05-01.yaml,[0.5722009]
10-05-02.yaml,[-0.99880695]
10-05-03.yaml,[0.55060107]
10-06-01.yaml,[-0.99880695]
10-06-02.yaml,[0.5194013]
10-06-03.yaml,[-0.99880695]
10-07-01.yaml,[-1.3543997]
10-07-02.yaml,[-1.2916001]
10-07-03.yaml,[-1.3863994]
10-08-01.yaml,[-1.3543997]
10-08-02.yaml,[-1.2916001]
10-08-03.yaml,[-1.3863994]
10-09-01.yaml,[-1.3543997]
10-09-02.yaml,[-1.2916001]
10-09-03.yaml,[-1.3863994]
10-10-01.yaml,[-1.3543997]
10-10-02.yaml,[-1.2916001]
10-10-03.yaml,[-1.3863994]
10-11-01.yaml,[-1.3543997]
10-11-02.yaml,[-1.2916001]
10-11-03.yaml,[-1.3863994]
10-12-01.yaml,[-1.3543997]
10-12-02.yaml,[-1.2916001]
10-12-03.yaml,[-1.3863994]
10-13-01.yaml,[-1.3543997]
10-13-02.yaml,[-1.2916001]
10-13-03.yaml,[-1.3863994]
10-14-01.yaml,[-1.3543997]
10-14-02.yaml,[-1.2916001]
10-14-03.yaml,[-1.3863994]
10-15-01.yaml,[-1.3543997]
10-15-02.yaml,[-1.2916001]
10-15-03.yaml,[-1.3863994]
10-16-01.yaml,[-1.3543997]
10-16-02.yaml,[-1.2916001]
10-16-03.yaml,[-1.3863994]
10-17-01.yaml,[-1.3543997]
10-17-02.yaml,[-1.2916001]
10-17-03.yaml,[-1.3863994]
10-18-01.yaml,[-1.3543997]
10-18-02.yaml,[-1.2916001]
10-18-03.yaml,[-1.3863994]
10-19-01.yaml,[-0.99880695]
10-19-02.yaml,[-0.99880695]
10-19-03.yaml,[-0.99880695]
10-20-01.yaml,[-0.99880695]
10-20-03.yaml,[-0.99880695]
10-21-01.yaml,[-0.99880695]
10-21-03.yaml,[-0.99880695]
10-22-01.yaml,[-0.99880695]
10-23-01.yaml,[-0.99880695]
10-23-03.yaml,[0.7205997]
10-24-01.yaml,[-0.9995871]
10-24-02.yaml,[-0.9995871]
10-24-03.yaml,[-0.9995871]
10-25-01.yaml,[0.5726009]
10-25-02.yaml,[-1.6292007]
10-25-03.yaml,[-1.1143999]
10-26-01.yaml,[-1.1388]
10-26-02.yaml,[-1.6292007]
10-26-03.yaml,[-1.1143999]
10-27-01.yaml,[-0.99880695]
10-27-02.yaml,[0.45940083]
10-27-03.yaml,[-1.1143999]
10-28-01.yaml,[-0.99880695]
10-28-02.yaml,[-1.2128003]
10-28-03.yaml,[-0.99880695]
10-29-01.yaml,[-0.99880695]
10-29-02.yaml,[-1.2696004]
10-29-03.yaml,[-0.99880695]
10-30-01.yaml,[-0.99880695]
10-30-02.yaml,[0.38950133]
10-30-03.yaml,[-1.2008002]
